images	0	1	2	3	4	5	6	7	8	9
./data/image/cat2.jpg	civet cat	chartreux cat	british shorthair cat	blue tabby cat	persian cat	purebred cat	snow petrel	feral cat	wildcat - animal	himalayan cat
./data/image/img000016.jpg	horse racing	hurdling - horse racing	horseracing track	equestrian helmet	quarter horse	shire horse	belgian horse	trojan horse	steeplechasing - horse racing	camargue horse
./data/image/bedroom1.jpg	bed - furniture	flat bed scanner	four-poster bed	double bed	camp bed	twin bed	sheet - bedding	pet bed	bed frame	nursery - bedroom
./data/image/car1.jpg	car jack	car wax	supersonic car	vintage car	drag car	rear view	hot rod car	hubcap	collector's car	rear windshield
./data/image/img000010.jpg	horse color	chestnut - horse color	welsh pony	camargue horse	friesian horse	miniature horse	belgian horse	thoroughbred horse	paint horse	andalusian horse
./data/image/horse2.jpg	native american reservation	cherokee culture	apache culture	north american tribal culture	shoshone tribal culture	lakota culture	sioux culture	apache ethnicity	navajo reservation	sioux ethnicity
./data/image/beroom2.jpg	bed - furniture	upholstered furniture	bedroom	domestic room	hotel suite	nursery - bedroom	hotel room	four-poster bed	double bed	padded room
./data/image/horse1.jpg	horse color	belgian horse	arabian horse	shire horse	quarter horse	stallion	thoroughbred horse	pommel horse	friesian horse	camargue horse
./data/image/car2.jpg	hearse	vehicle hood	car defroster	drag car	hot rod car	car jack	vehicle clutch	bumper car	car wax	vehicle part
./data/image/cat1.jpg	civet cat	persian cat	cat food	chartreux cat	british shorthair cat	turnip	tabby cat	miniature pumpkin	gourd	purebred cat
./data/image/img000015.jpg	equestrian show jumping	recreational horseback riding	horseback riding	equestrian eventing	horseracing track	paso fino horse	dapple gray horse	equestrian helmet	horsetail	hoppity horse
