,images,0,1,2,3,4,5,6,7,8,9
0,testing/3.jpg,bob,avatar,grumpy old man,male likeness,fictional character,animated cartoon,professor,look-alike,ventriloquist's dummy,animator
1,testing/4.jpg,scottish terrier,dog roundworm,kaleidoscope pattern,corn dog,dachshund,dog louse,frilled sea anemone,dog heartworm,chinese temple dog,miniature dachshund
2,testing/5.jpg,virtual reality point of view,virtual reality,augmented reality,science fiction film,binocular vision,futurism,virtual reality simulator,psychedelic music,psychedelic,dreamworks animation
3,testing/6.jpg,aurora polaris,arctic,permafrost,light - natural phenomenon,arctic national wildlife refuge,tundra,icefall,tabular iceberg,polar vortex,frozen planet
4,testing/7.jpg,pet adoption,animal imitation,animal shelter,pampered pets,look-alike,internet ad,pets,pet socialization,animal family,dogs trust
5,testing/img000347.jpg,deck chair,lounge chair,panoramic,outdoor chair,verandah room,hookah lounge,balcony,ferris wheel point of view,hooded beach chair,lifeguard chair
6,testing/img000350.jpg,eastern gray kangaroo,western gray kangaroo,yellow-footed rock-wallaby,gray kangaroo,kangaroo paw,red-necked wallaby,taxonomic information for animals,australian shepherd,preening - animal behavior,grooming - animal behavior
7,testing/img000376.jpg,greek islands,ischia island,highland islands,ascension island,maddalena archipelago,lesser sunda islands,amalfi coast,newfoundland island,spirit island,marco island
8,testing/img000399.jpg,actress,make-up artist,female likeness,avatar,best actress,transgender,human face,eyebrow piercing,green eyes,cross-eyed
9,testing/img000428.jpg,papal visit,roman forum,papal conclave,european capital of culture,french overseas territory,basilica of superga,rome marathon,sicilian open,canonization,paris right bank
10,testing/img003291.jpg,civet cat,british shorthair cat,chartreux cat,longhair cat,shorthair cat,persian cat,bengal cat,himalayan cat,tabby cat,burmese cat
11,testing/img003875.jpg,chartreux cat,british shorthair cat,civet cat,mixed-breed cat,costume cat ears,longhair cat,shorthair cat,tabby cat,purebred cat,catmint
12,testing/img004377.jpg,hurdling - horse racing,bullfight,equestrian cross-country,bullfighter,equestrian eventing,equestrian helmet,steeplechasing - horse racing,trojan horse,horse racing,equestrian event
13,testing/img004563.jpg,thatched roof,biomass - renewable energy source,terraced cottage,living roof,farmhouse,granary weevil,roof gutter,house rental,roof beam,bedfordshire
14,testing/img004719.jpg,swamp milkweed,eastern purple coneflower,speckled moray eel,american purple gallinule,speckled trout,axolotl,common newt,malachite kingfisher,weedy scorpionfish,water hyacinth
15,testing/img005062.jpg,persian cat,burmese cat,civet cat,british shorthair cat,chartreux cat,longhair cat,shorthair cat,bengal cat,abyssinian cat,mixed-breed cat
16,testing/5003.jpg,red deer - animal,white-tailed deer,animal ear,serval,roe deer,deer,key deer,axis deer,sika deer,deer family
17,testing/5004.jpg,feminist initiative,langkawi international dialogue,conversations with other women,community outreach,walkout - protest,youth organization,aids healthcare foundation,afro-caribbean ethnicity,international womens day,social movement
18,testing/5005.jpg,taxonomic information for animals,animal shell,aronia melanocarpa,pod - group of animals,amanita pantherina,clam - animal,freshwater clam,bat-eared fox,biomedical illustration,animal embryo
19,testing/5006.jpg,vitiligo,freckle,black and white instant print,natural beauty - people,make-up artist,human face,acne,black and white,black beauty,eyeliner
20,testing/5007.jpg,narcissus - mythological character,narcissus,warrior - person,the dark knight,the watchman,actor,the darkness,greek orthodox,paperwhite narcissus,aardwolf
21,testing/img000004.jpg,batting - sports activity,sabre fencing - sport,badminton - sport,jacks - throwing game,sport training cone,sambo - combat sport,traditional sport,playing catch,archery competition,badminton
22,testing/img000005.jpg,winemaking,wine bar,cabernet sauvignon grape,winery,cabernet franc grape,wine cask,chardonnay grape,winetasting,wineglass,fortified wine
23,testing/img000006.jpg,zebra finch,plains zebra,zebra,zebra dove,zebra print,mountain zebra,zebra crossing,zebra tomato,striped blenny,striped grunt
24,testing/img000007.jpg,staffordshire bull terrier,equestrian cross-country,belgian sheepdog,saddleback pig,european bison,italian greyhound,shorthorn cattle,sheep meadow,german shepherd,pasture
25,testing/img000008.jpg,peregrine falcon,pygmy falcon,falconry,broad-winged hawk,hawk owl,hawk - bird,bird feeder,cape eagle owl,rock eagle owl,wattled starling
26,testing/img000009.jpg,rail transportation,rail freight,safety rail,train - vehicle,the overland track,passenger train,railway signal,railroad track,rail fence,elevated train
27,testing/img000010.jpg,begging - animal behavior,elephant handler,asian elephant,elephant,elephant calf,giant elephant ear,indian elephant,animals in captivity,animal captivity building,help wanted sign
28,testing/0_000000000419.tif,tennis net,racket sport,let - racket sport,badminton - sport,tennis,badminton racket,tennis racket,squash - sport,netball competition,volleyball net
29,testing/0_000000000520.tif,english harbour,herring gull,waterfront,american herring gull,kelp gull,marsh harbour,sea of marmara,ferry terminal,european herring gull,common gull
30,testing/0_000000000544.tif,nippon professional baseball,pitcher's mound,inning,baseball competition,baseball city stadium,baseball - sport,batting - sports activity,catchers mitt,baseball strike,three-quarter front view
31,testing/0_000000000821.tif,soapbox cart,motorized go-cart,golf cart,american civil rights movement,black civil rights,mobility as a service,mobility scooter,gas station attendant,moving a motorized vehicle,push cart
32,testing/0_000000000901.tif,city street,japanese culture,street light,japanese lantern,japanese language,bond street,japanese ethnicity,street style,grey street,smart city
